fetched_utc,source,filename,stored_as,vintage,data_through,variant_by_name,variant_by_content,firm_type,n_cols,n_rows,bytes,sha256,last_modified,etag,url
2026-09-10T20:54:08+00:00,backfill,ia090623.zip,ia090623.zip,2023-09-06,2023-09-05,unmarked,registered,Registered,461,15528,20361751,b3aa9d3110499e9b91723fcf542a5f7b0fcd109494a0758a35cdfa4f742d3a10,"Thu, 21 Sep 2023 14:14:15 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090623.zip
2026-09-10T20:54:13+00:00,backfill,ia100124-exempt.zip,ia100124-exempt.zip,2024-10-01,2024-09-30,exempt,exempt,ERA,184,5614,3636025,514cc74c3727b53d025f1912fdb7affea8ab6695ed8c5eaf456613616f0d9eb9,"Tue, 01 Oct 2024 16:23:38 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia100124-exempt.zip
2026-09-10T20:54:37+00:00,backfill,ia100124.zip,ia100124.zip,2024-10-01,2024-09-30,unmarked,registered,Registered,461,15987,20992606,a512121706e35216443de70ebb546066653c3c9e23e30d6edf038d1d62cb1435,"Tue, 01 Oct 2024 16:23:21 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia100124.zip
2026-09-10T20:54:43+00:00,backfill,ia100523-exempt.zip,ia100523-exempt.zip,2023-10-05,2023-10-04,exempt,exempt,ERA,184,5980,3820482,ef06b2909e708da9d7a5baee057890ac9f45e3e2db7369eb4d4c5113be74574a,"Thu, 05 Oct 2023 16:39:04 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100523-exempt.zip
2026-09-10T20:55:07+00:00,backfill,ia100523.zip,ia100523.zip,2023-10-05,2023-10-04,unmarked,registered,Registered,461,15569,20403349,29668c31e800cb4270730459de449a52c3dbdf83d220ea0bb4460e1925b21b3c,"Thu, 05 Oct 2023 16:36:15 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100523.zip
2026-09-10T20:55:13+00:00,backfill,ia110123-exempt.zip,ia110123-exempt.zip,2023-11-01,2023-10-31,exempt,exempt,ERA,184,5947,3798948,a57bd1e26659037d8bbd2c73a8d2430f6c80b114d3501b60bd60616f269d4e87,"Thu, 02 Nov 2023 17:20:00 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110123-exempt.zip
2026-09-10T20:55:35+00:00,backfill,ia110123.zip,ia110123.zip,2023-11-01,2023-10-31,unmarked,registered,Registered,461,15573,20410586,9b1a5d337e91d372d8cfc88a26b0605ec6f53dff6bbca22c505da02f8c852e23,"Thu, 02 Nov 2023 17:18:13 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110123.zip
2026-09-10T20:55:40+00:00,backfill,ia110124-exempt.zip,ia110124-exempt.zip,2024-11-01,2024-10-31,exempt,exempt,ERA,184,5641,3651884,65780a7589dad3d93f7df46cb1679347f0a5b952373c4d5be97828abf31974f2,"Fri, 01 Nov 2024 14:08:04 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia110124-exempt.zip
2026-09-10T20:56:04+00:00,backfill,ia110124.zip,ia110124.zip,2024-11-01,2024-10-31,unmarked,registered,Registered,461,15974,20976175,ea4f7dad2f311cd1315686119173f17b1b228288c601da2512e863f112ae64c9,"Fri, 01 Nov 2024 14:05:59 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia110124.zip
2026-09-10T20:56:09+00:00,backfill,ia120224-exempt.zip,ia120224-exempt.zip,2024-12-02,2024-12-01,exempt,exempt,ERA,184,5649,3655543,74a804ebed7e855f93f01359599bbc08cbad8789c8eac6a59eeb511d261c8d51,"Mon, 02 Dec 2024 15:18:06 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia120224-exempt.zip
2026-09-10T20:56:33+00:00,backfill,ia120224.zip,ia120224.zip,2024-12-02,2024-12-01,unmarked,registered,Registered,461,16005,21014386,8ae2b424172abc4467e96ad0cd676b0eb460ffae70723719f69312d89b037534,"Mon, 02 Dec 2024 15:16:35 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia120224.zip
2026-09-10T20:56:39+00:00,backfill,ia120623-exempt.zip,ia120623-exempt.zip,2023-12-06,2023-12-05,exempt,exempt,ERA,184,6010,3838645,7c640b5d7e337beeaf277e38dcb53adcccb4d63b31e5869c7f9cc89b088b4cd1,"Thu, 07 Dec 2023 17:59:48 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120623-exempt.zip
2026-09-10T20:57:00+00:00,backfill,ia120623.zip,ia120623.zip,2023-12-06,2023-12-05,unmarked,registered,Registered,461,15573,20397948,cbd35796f1bc920c2365772667b7b086417826147b4389dc0be62db7b4769ed6,"Thu, 07 Dec 2023 17:58:17 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120623.zip
